stop_id,stop_name,stop_desc,stop_lat,stop_lon
356,Antibiotice,,47.1775875590911,27.487262962677054
362,Troita,,47.17503007,27.49912329
358,Str. 1 Decembrie,,47.17387941,27.50610441
369,Carrefour ERA,,47.16753906,27.51390561
155,Praktiker ERA,,47.17003762638909,27.51281797885895
156,Popas Pacurari,,47.1724089,27.52018607
36,Pacurari,,47.1729331582682,27.53337013695273
37,OMV Pacurari,,47.17360859,27.53860211
301,Cimitirul Evreiesc,,47.17470124,27.54422338
39,Moara 1 Mai,,47.17425422,27.55230072
69,Petru Poni,,47.17355456,27.55843357
41,Blocuri Pacurari,,47.17086556,27.57091058
42,Piata Independentei,,47.16791686,27.58082524
10,Podu de Fier,,47.16654,27.59465
364,Str. Conductelor,,47.16434179,27.59616466
365,Bucsinescu,,47.160019472768404,27.599894284940095
297,Spitalul Sf. Maria,,47.16012,27.60947
334,Dr. Savini,,47.16004427629994,27.613568186825436
336,Flora,,47.15922430063565,27.61898088429007
390,Tatarasi Sud,,47.15655783248506,27.623518109321598
255,Moldomobila,,47.14484941,27.60635197
256,Liceul de Constructii,,47.1430695,27.60253275
49,Frigorifer,,47.14134074,27.60017077
50,Camine C.U.G.,,47.13719840138118,27.604498028886155
51,Continental,,47.136905011517065,27.600165725016268
133,Liceul C.U.G.,,47.136565640359244,27.594873189664217
53,Blocuri Cetatuia,,47.13553072772941,27.58674824290211
103,Bazar,,47.13404182,27.58037378
54,C.U.G. I,,47.13407393385874,27.575644969547287
153,Tehnopolis,,47.124760748640526,27.567249656312928
263,Vama II,,47.11953227069235,27.564390420520798
215,Otelarie,,47.11729457067777,27.562993526262296
216,Baza Nautica,,47.11421352,27.56103921
217,Horpaz,,47.11076564275048,27.55954742431641
218,Sere Ciurea,,47.10561246655786,27.55957317345747
219,Lunca Cetatuii,,47.100656710015066,27.559701919817606
223,Astoria,,47.09718809,27.55900317
222,Blocuri Ciurea,,47.09670078,27.56119183
221,Blocuri Ciurea,,47.09664,27.56659
220,Astoria,,47.09705029,27.55900642
224,Lunca Cetatuii,,47.10033048,27.55977809
225,Sere Ciurea,,47.10486399,27.55970347
226,Horpaz,,47.11045750314655,27.559390783244456
227,Baza Nautica,,47.11399439,27.56101203
228,Otelarie,,47.1167579,27.56268674
264,Vama II,,47.11925488,27.56428173
229,Tehnopolis,,47.1236825359029,27.567140222054153
142,C.U.G. I,,47.13395563,27.575497
120,Bazar,,47.13406736,27.5805182
56,Blocuri Cetatuia,,47.13546212191335,27.58651006195578
52,Liceul C.U.G.,,47.136418943883875,27.593853950238557
57,Continental,,47.136856842587996,27.600409269725795
58,Camine C.U.G.,,47.13716555929772,27.60481882134627
314,Frigorifer,,47.1419055566335,27.60021185888036
309,Baza 3,,47.14597152,27.60881921
354,Tatarasi Sud,,47.15638127893262,27.6238850356458
212,Tatarasi Nord,,47.16158279104363,27.608412981426234
146,Elena Doamna,,47.16136073,27.5935289
147,Palatul Culturii,,47.15992259,27.58883861
148,Sala Polivalenta,,47.15382337831613,27.587345838546756
162,Pasaj Nicolina,,47.14500767276128,27.581600546836857
291,Gara Internationala,,47.14780194,27.57868683
164,Spitalul de Recuperare,,47.15003007527262,27.574616074562076
285,Policlinica Recuperare,,47.15201395050128,27.572435974943804
166,Mircea cel Batran,,47.15608732,27.57042393
167,Piata Alexandru cel Bun,,47.16026999,27.57072184
168,Piata Alexandru cel Bun II,,47.16191689602321,27.569475889140456
178,Familial,,47.161960665075924,27.56723463535309
372,Piata Alexandru cel Bun,,47.16011576827615,27.570440411764142
180,Mircea cel Batran,,47.15606318993977,27.570342779290517
284,Policlinica Recuperare,,47.15187824093024,27.572477817338953
182,Spitalul de Recuperare,,47.14974697135052,27.574887514310834
163,Gara Internationala,,47.1470459,27.57988924
184,Pasaj Nicolina,,47.144771244138035,27.58228290054831
24,Sala Polivalenta,,47.15386617,27.58734652
25,Palatul Culturii,,47.159349778049084,27.587105512684506
26,Elena Doamna,,47.16144856486854,27.594112515580495
328,Podu Ros (2),,47.15045422,27.58838401
232,Tutora,,47.14334593,27.64348871
269,Somaco,,47.14346916,27.6500505
270,Boromir,,47.14185697,27.65831378
271,Caretta,,47.13848954,27.66699587
272,Vinia,,47.13596595,27.67333853
273,Facultativa,,47.13449183,27.68308244
274,Blocuri Tomesti,,47.13254732,27.69102403
276,Tomesti,,47.13061103,27.69826012
275,Tomesti,,47.13076329,27.69811796
277,Blocuri Tomesti,,47.13204262,27.69299689
278,Facultativa,,47.13439573,27.6833716
279,Vinia,,47.13563373,27.67462027
280,Caretta,,47.13821701,27.66787053
281,Boromir,,47.14180977,27.65857559
282,Somaco,,47.14350572,27.65125519
239,Tutora,,47.14350848,27.64447815
59,Frigorifer,,47.14205166,27.59933885
60,Casa Sindicatelor,,47.14527801,27.59476196
132,Podu Ros (2),,47.15030367,27.58861382
157,Octav Bancila,,47.17100039002343,27.561448573542297
98,Str. Bacinschi,,47.16755770029366,27.568437337613435
99,Gara,,47.16575019894594,27.57125473035558
100,Pasaj Alexandru cel Bun,,47.161672518260765,27.573233127332063
101,Podul de Piatra,,47.155874232148214,27.573905825156544
102,Gara Internationala,,47.14991187240086,27.577992439073576
326,Vama,,47.147040624711565,27.582465291416156
104,Piata Nicolina,,47.14659989078332,27.590685725081133
48,Casa Sindicatelor,,47.146742910677574,27.592933416235613
105,OMV Bucium,,47.13551467112097,27.608918309015284
117,Spitalul nr. 7,,47.13060914340267,27.613913655150103
107,Centrofarm,,47.12759743179906,27.616439223093042
108,Hanul Trei Sarmale,,47.123756996670004,27.622322917050045
109,Scoala Generala nr. 2,,47.121385876839895,27.62524652487628
113,Plopii fara sot,,47.11892412208507,27.630127072334293
111,Bucium,,47.11654621588359,27.631922006476092
112,Bucium,,47.11659634,27.63214052
110,Plopii fara sot,,47.119275286703704,27.629611015581766
114,Scoala Generala nr. 2,,47.12104116,27.62584671
115,Hanul Trei Sarmale,,47.12436801010271,27.621350884437565
116,Centrofarm,,47.12784342630706,27.616335153579715
106,Spitalul nr. 7,,47.13051324,27.6140734
118,OMV Bucium,,47.135235139033554,27.60944616788038
119,Piata Nicolina,,47.1462401500339,27.589393973612466
327,Vama,,47.14742225047006,27.581943869590763
121,Gara Internationala,,47.149047960387584,27.5792820452989
122,Podul de Piatra,,47.156297379629436,27.57421159763908
123,Pasaj Alexandru cel Bun (sens Gara),,47.161463154727144,27.57329535477766
124,Gara,,47.165609418385,27.57144248498662
125,Str. Bacinschi,,47.1674182,27.56881191
158,Octav Bancila,,47.17148568,27.56067008
127,Moara 1 Mai,,47.17332884,27.55304356
333,Copou,,47.19043297,27.55920142
343,Muzeul Mihail Sadoveanu,,47.1959979,27.55414613
352,Str. Podgoriilor,,47.19733955,27.55084366
339,Liceul Agricol,,47.19862824,27.5448744
341,Liceul Pedagogic,,47.19969782,27.54175231
252,Seminarul Teologic,,47.20077253,27.53819302
253,Statiunea Viticola,,47.20262038,27.53503203
243,Breazu,,47.2095358,27.53157064
254,Breazu,,47.20958955,27.5315693
244,Statiunea Viticola,,47.20279095642651,27.534667253494266
245,Seminarul Teologic,,47.20091668,27.53771906
342,Liceul Pedagogic,,47.19972757,27.54156349
340,Liceul Agricol,,47.19838339,27.54463032
353,Str. Podgoriilor,,47.19743310118751,27.55027770996094
344,Muzeul Mihail Sadoveanu,,47.19539916,27.55468612
200,Piata Mihai Eminescu,,47.16895337,27.57661047
477,Fidelio,,47.16963849572582,27.57685363278143
134,Podu Ros (2),,47.150466,27.58814491
55,C.U.G. I,,47.13366441,27.57564342
315,Tesatura,,47.14965297,27.59515489
322,Scoala Ion Ghica,,47.15211436,27.59860017
145,C.T.P. - Sectia nr. 1,,47.15384,27.60351
63,Tudor Vladimirescu,,47.15637672,27.6037505
65,Elena Doamna,,47.16101289,27.59609923
345,Pasaj Nicolina,,47.14453171,27.58341973
286,Frumoasa,,47.13951014,27.58520344
288,Clopotari,,47.13640522,27.58158378
348,Piata C.U.G.,,47.1348815,27.57734723
241,C.U.G. I,,47.13362475,27.57535008
290,Piata C.U.G.,,47.13477417,27.57737842
289,Clopotari,,47.13635495,27.5814405
287,Frumoasa,,47.13952284,27.58525506
346,Pasaj Nicolina,,47.14465269,27.5835143
283,Depoul C.F.R.,,47.16455063,27.56568241
350,Piata Sf. Anton de Padova,,47.16833204,27.55837396
292,Piata Dacia,,47.16945389,27.54981038
373,Dacia,,47.169547,27.540614
