trip_id,arrival_time,departure_time,stop_id,stop_sequence
26TSD,2:08:35,2:08:35,270,12
26TSD,2:08:55,2:08:55,271,13
26TSD,2:09:15,2:09:15,272,14
26TSD,2:09:35,2:09:35,273,15
26TSD,2:09:55,2:09:55,274,16
26TSD,2:10:15,2:10:15,276,17
26RLV,2:00:00,2:00:00,275,1
26RSD,2:00:05,2:00:05,277,2
26RSD,2:00:10,2:00:10,278,3
26RSD,2:00:15,2:00:15,279,4
26RSD,2:00:20,2:00:20,280,5
26RSD,2:00:25,2:00:25,281,6
26RSD,2:02:44,2:02:44,282,7
26RSD,2:02:49,2:02:49,239,8
26RSD,2:03:07,2:03:07,238,9
26RSD,2:03:22,2:03:22,237,10
26RSD,2:03:44,2:03:44,18,11
26RSD,2:04:13,2:04:13,19,12
26RSD,2:04:30,2:04:30,308,13
26RSD,2:04:42,2:04:42,255,14
26RSD,2:04:52,2:04:52,256,15
26RSD,2:05:42,2:05:42,59,16
26RSD,2:06:04,2:06:04,60,17
26RSD,2:06:09,2:06:09,132,18
4TLV,2:00:00,2:00:00,94,1
4RLV,2:00:00,2:00:00,112,1
42TLV,2:00:00,2:00:00,173,1
42TSD,2:01:27,2:01:27,172,2
42TSD,2:01:58,2:01:58,175,3
42TSD,2:02:25,2:02:25,170,4
42TSD,2:03:02,2:03:02,177,5
42TSD,2:03:26,2:03:26,323,6
42TSD,2:04:52,2:04:52,123,7
42TSD,2:05:43,2:05:43,124,8
42TSD,2:08:02,2:08:02,29,9
42TSD,2:09:47,2:09:47,67,10
42TSD,2:10:27,2:10:27,31,11
42TSD,2:11:02,2:11:02,32,12
42TSD,2:11:49,2:11:49,33,13
42TSD,2:12:15,2:12:15,34,14
42TSD,2:12:48,2:12:48,333,15
42TSD,2:13:29,2:13:29,343,16
42TSD,2:13:49,2:13:49,352,17
42TSD,2:14:09,2:14:09,339,18
42TSD,2:14:29,2:14:29,341,19
42TSD,2:14:49,2:14:49,252,20
42TSD,2:15:09,2:15:09,253,21
42TSD,2:15:29,2:15:29,243,22
42TSD,2:15:49,2:15:49,254,23
42RLV,2:00:00,2:00:00,254,1
42RSD,2:00:05,2:00:05,244,2
42RSD,2:00:10,2:00:10,245,3
42RSD,2:00:15,2:00:15,342,4
42RSD,2:00:20,2:00:20,340,5
42RSD,2:00:25,2:00:25,353,6
42RSD,2:00:30,2:00:30,344,7
42RSD,2:00:36,2:00:36,1,8
42RSD,2:01:13,2:01:13,2,9
42RSD,2:01:23,2:01:23,3,10
42RSD,2:01:59,2:01:59,4,11
42RSD,2:02:19,2:02:19,5,12
42RSD,2:02:41,2:02:41,200,13
42RSD,2:04:07,2:04:07,99,14
42RSD,2:04:44,2:04:44,100,15
42RSD,2:06:01,2:06:01,169,16
42RSD,2:06:23,2:06:23,176,17
42RSD,2:06:38,2:06:38,171,18
42RSD,2:06:52,2:06:52,213,19
42RSD,2:07:03,2:07:03,174,20
12TLV,2:00:00,2:00:00,477,1
12TSD,2:03:19,2:03:19,42,3
12TSD,2:04:19,2:04:19,9,4
12TSD,2:05:48,2:05:48,146,5
12TSD,2:06:08,2:06:08,147,6
12TSD,2:06:48,2:06:48,148,8
12TSD,2:07:08,2:07:08,149,9
12TSD,2:07:28,2:07:28,150,10
12TSD,2:07:48,2:07:48,151,11
12TSD,2:08:08,2:08:08,141,12
12TSD,2:08:28,2:08:28,197,13
12TSD,2:08:48,2:08:48,153,14
12TSD,2:09:31,2:09:31,263,15
12TSD,2:09:51,2:09:51,215,16
12TSD,2:10:11,2:10:11,216,17
12TSD,2:10:31,2:10:31,217,18
12TSD,2:10:51,2:10:51,218,19
12TSD,2:11:11,2:11:11,219,20
12TSD,2:11:31,2:11:31,223,21
12TSD,2:11:51,2:11:51,222,22
12RLV,2:00:00,2:00:00,221,1
12RSD,2:00:05,2:00:05,220,2
12RSD,2:00:10,2:00:10,224,3
12RSD,2:00:15,2:00:15,225,4
12RSD,2:00:20,2:00:20,226,5
12RSD,2:00:25,2:00:25,227,6
12RSD,2:00:30,2:00:30,228,7
12RSD,2:00:35,2:00:35,264,8
12RSD,2:00:41,2:00:41,229,9
12RSD,2:01:07,2:01:07,152,10
12RSD,2:01:12,2:01:12,242,11
12RSD,2:01:17,2:01:17,198,12
12RSD,2:01:22,2:01:22,199,13
12RSD,2:01:27,2:01:27,300,14
12RSD,2:01:32,2:01:32,24,15
12RSD,2:01:37,2:01:37,25,16
12RSD,2:01:42,2:01:42,26,17
12RSD,2:03:18,2:03:18,66,18
12RSD,2:04:10,2:04:10,67,19
6TLV,2:00:00,2:00:00,1,1
6TSD,2:00:52,2:00:52,2,2
6TSD,2:01:17,2:01:17,3,3
6TSD,2:02:08,2:02:08,4,4
6TSD,2:02:43,2:02:43,5,5
6TSD,2:04:45,2:04:45,42,6
6TSD,2:05:45,2:05:45,9,7
6TSD,2:07:14,2:07:14,146,8
6TSD,2:07:34,2:07:34,147,9
6TSD,2:08:14,2:08:14,148,11
6TSD,2:08:54,2:08:54,134,13
6TSD,2:09:14,2:09:14,48,14
6TSD,2:10:13,2:10:13,49,15
6TSD,2:11:06,2:11:06,50,16
6TSD,2:11:37,2:11:37,51,17
6TSD,2:13:03,2:13:03,133,18
6TSD,2:13:23,2:13:23,53,19
6TSD,2:13:43,2:13:43,103,20
6TSD,2:14:03,2:14:03,54,21
6TSD,2:14:43,2:14:43,55,23
6RLV,2:00:00,2:00:00,55,1
6RSD,2:00:05,2:00:05,120,2
6RSD,2:00:10,2:00:10,56,3
6RSD,2:00:15,2:00:15,52,4
6RSD,2:01:27,2:01:27,57,5
6RSD,2:01:43,2:01:43,58,6
6RSD,2:02:48,2:02:48,59,8
6RSD,2:03:10,2:03:10,60,9
6RSD,2:04:10,2:04:10,315,10
6RSD,2:04:56,2:04:56,322,11
6RSD,2:05:07,2:05:07,145,12
6RSD,2:06:30,2:06:30,63,13
6RSD,2:06:45,2:06:45,64,14
6RSD,2:06:58,2:06:58,65,15
6RSD,2:08:37,2:08:37,66,16
6RSD,2:09:29,2:09:29,67,17
6RSD,2:09:53,2:09:53,31,18
6RSD,2:10:13,2:10:13,32,19
6RSD,2:10:45,2:10:45,33,20
6RSD,2:10:56,2:10:56,34,21
6RSD,2:11:39,2:11:39,35,23
6RSD,2:11:45,2:11:45,1,24
2TLV,2:00:00,2:00:00,36,1
2TSD,2:05:48,2:05:48,37,2
2TSD,2:06:17,2:06:17,301,3
2TSD,2:06:50,2:06:50,39,4
2TSD,2:07:20,2:07:20,69,5
2TSD,2:08:05,2:08:05,41,6
2TSD,2:10:19,2:10:19,42,8
2TSD,2:11:19,2:11:19,9,9
2TSD,2:12:48,2:12:48,146,10
2TSD,2:13:08,2:13:08,147,11
2TSD,2:13:48,2:13:48,148,13
2TSD,2:14:28,2:14:28,134,15
2TSD,2:14:48,2:14:48,48,16
2TSD,2:15:47,2:15:47,49,17
2TSD,2:16:40,2:16:40,50,18
2TSD,2:17:11,2:17:11,51,19
2TSD,2:18:37,2:18:37,133,20
2TSD,2:18:57,2:18:57,53,21
2TSD,2:19:17,2:19:17,103,22
2TSD,2:19:37,2:19:37,54,23
2TSD,2:20:17,2:20:17,55,25
2RLV,2:00:00,2:00:00,55,1
2RSD,2:00:05,2:00:05,120,2
2RSD,2:00:10,2:00:10,56,3
2RSD,2:00:15,2:00:15,52,4
2RSD,2:01:27,2:01:27,57,5
2RSD,2:01:43,2:01:43,58,6
2RSD,2:02:48,2:02:48,59,8
2RSD,2:03:10,2:03:10,60,9
2RSD,2:04:10,2:04:10,315,10
2RSD,2:04:56,2:04:56,322,11
2RSD,2:05:07,2:05:07,145,12
2RSD,2:06:30,2:06:30,63,13
2RSD,2:06:45,2:06:45,64,14
2RSD,2:06:58,2:06:58,65,15
2RSD,2:08:37,2:08:37,66,16
2RSD,2:09:29,2:09:29,67,17
2RSD,2:10:45,2:10:45,68,19
2RSD,2:11:15,2:11:15,40,20
2RSD,2:11:33,2:11:33,70,21
2RSD,2:11:48,2:11:48,302,22
2RSD,2:12:04,2:12:04,72,23
2RSD,2:17:37,2:17:37,73,24
2RSD,2:17:50,2:17:50,36,26
27TLV,2:00:00,2:00:00,173,1
27RLV,2:00:00,2:00:00,221,1
8TLV,2:00:00,2:00:00,36,1
8TSD,2:05:48,2:05:48,37,2
8TSD,2:06:17,2:06:17,301,3
8TSD,2:06:50,2:06:50,39,4
8TSD,2:07:20,2:07:20,69,5
8TSD,2:08:05,2:08:05,41,6
8TSD,2:11:17,2:11:17,42,8
8TSD,2:12:17,2:12:17,9,9
8TSD,2:13:46,2:13:46,146,10
8TSD,2:14:06,2:14:06,147,11
8TSD,2:14:46,2:14:46,148,13
8TSD,2:15:26,2:15:26,134,15
8TSD,2:15:46,2:15:46,48,16
8TSD,2:16:45,2:16:45,49,17
8TSD,2:17:39,2:17:39,105,18
8TSD,2:18:17,2:18:17,117,19
8TSD,2:19:01,2:19:01,107,20
8TSD,2:19:32,2:19:32,108,21
8TSD,2:19:58,2:19:58,109,22
8TSD,2:20:23,2:20:23,113,23
8TSD,2:20:43,2:20:43,111,24
8TSD,2:21:03,2:21:03,112,25
8RLV,2:00:00,2:00:00,112,1
8RSD,2:00:05,2:00:05,110,2
8RSD,2:00:14,2:00:14,114,3
8RSD,2:00:29,2:00:29,115,4
8RSD,2:00:44,2:00:44,116,5
8RSD,2:01:13,2:01:13,106,6
8RSD,2:01:36,2:01:36,118,7
8RSD,2:02:36,2:02:36,59,8
8RSD,2:02:58,2:02:58,60,9
8RSD,2:03:58,2:03:58,315,10
8RSD,2:04:44,2:04:44,322,11
8RSD,2:04:55,2:04:55,145,12
8RSD,2:06:18,2:06:18,63,13
8RSD,2:06:33,2:06:33,64,14
8RSD,2:06:46,2:06:46,65,15
8RSD,2:08:25,2:08:25,66,16
8RSD,2:09:17,2:09:17,67,17
8RSD,2:10:33,2:10:33,68,19
8RSD,2:11:03,2:11:03,40,20
8RSD,2:11:21,2:11:21,70,21
8RSD,2:11:36,2:11:36,302,22
8RSD,2:11:52,2:11:52,72,23
8RSD,2:17:25,2:17:25,73,24
8RSD,2:17:38,2:17:38,36,26
